,SiteId,SiteName,TWD67Lon,TWD67Lat
369,C0V660,岡山,120.2869,22.7988
370,C0V620,永安,120.2288,22.8249
371,C0V640,湖內,120.2364,22.8889
372,C0V630,茄萣,120.1746,22.9084
373,C0X190,安平,120.1441,22.995
374,C0X100,臺南市北,120.1863,23.0122
375,C0X110,臺南市南,120.1804,22.963
376,C0X170,關廟,120.3197,22.9649
377,C0X160,仁德,120.2498,22.9701
378,C0X180,山上,120.3552,23.0774
379,C0X150,安定,120.22,23.1044
380,C0X140,西港,120.1951,23.1274
381,C0X130,官田,120.3075,23.195
382,C0X120,麻豆,120.2405,23.1851
383,C0R580,南州,120.4947,22.4877
384,C0R570,麟洛,120.5191,22.6526
385,C0V730,大寮,120.3877,22.6074
386,C0V770,大社,120.3386,22.7319
387,C0V760,橋頭,120.2977,22.7596
388,C0V750,路竹,120.2514,22.8566
389,C0V740,旗山,120.4755,22.8904
390,C0X200,左鎮,120.4004,23.0585
391,C1V570,吉東,120.5373,22.856
392,C1V580,溪南(特),120.7804,23.0868
393,C1V600,藤枝,120.7489,23.0738
394,C1V590,新發,120.638,23.0588
395,88H890,南豐,121.0805,24.0191
396,88S670,大鳥,120.9024,22.3916
397,88R460,來義,120.6681,22.5277
398,88V560,集來,120.5848,23.0304
399,88O950,羌黃坑,120.5289,23.0739
400,C1R440,大漢山,120.7451,22.4059
401,C1S850,豐南,121.2543,23.124
402,C0Z080,富源,121.3704,23.5898
403,C1Z090,三棧,121.597,24.1188
404,C1S870,南美山,121.3743,23.1521
405,C1S860,利嘉,121.0424,22.8111
406,C0F9V0,新社,120.8075,24.2016
407,C0F9R0,龍井,120.5208,24.1863
408,C0F9Q0,外埔,120.6975,24.3496
409,C0F9P0,清水,120.5541,24.314
410,C0F9O0,潭子,120.6958,24.2148
411,C0F9M0,豐原,120.7123,24.2563
412,C0F9L0,后里,120.7215,24.3121
413,C0F9K0,大安,120.58,24.3474
414,C0F9U0,南屯,120.6301,24.1389
415,C0F9T0,西屯,120.6329,24.182
416,C0F9S0,烏日,120.6159,24.1088
417,C0F9N0,大里,120.6922,24.0944
418,C1F9W0,德基,121.182,24.2567
419,C0G890,伸港,120.4762,24.1505
420,C0G870,芳苑,120.3119,23.924
421,C0G880,二水,120.609,23.8128
422,C0G860,社頭,120.5781,23.8994
423,C0G850,田中,120.5804,23.8587
424,C0G840,北斗,120.5065,23.8792
425,C0G830,埤頭,120.4447,23.8678
426,C0G820,田尾,120.5014,23.9034
427,C0G810,埔心,120.5176,23.9487
428,C0G800,埔鹽,120.4236,24.0022
429,C0G790,花壇,120.5441,24.0178
430,C0G780,秀水,120.4957,24.0359
431,C0G770,福興,120.4295,24.043
432,C0E810,西湖,120.7403,24.5644
433,C0E780,銅鑼,120.7826,24.4915
434,C0E750,苗栗,120.8164,24.5667
435,C0E740,造橋,120.8566,24.6388
436,C0E830,苑裡,120.6449,24.4415
437,C1E770,公館,120.8226,24.5286
438,C0E790,卓蘭,120.8162,24.3148
439,C1D640,外坪五指,121.0829,24.6462
440,C1D630,飛鳳山,121.1107,24.7683
441,C0E820,獅潭,120.912,24.541
442,A1AG70,仙跡,121.535,24.9911
443,A1AG50,劍潭,121.5202,25.0849
444,A1AG30,稻香,121.4757,25.1498
445,A1AG20,大湖,121.5959,25.0982
446,A1AG80,金面,121.5617,25.0967
447,A1AG60,福州,121.5461,25.0187
448,A1AG40,四獸,121.5747,25.0311
449,C1U840,東澳嶺,121.8406,24.5393
450,C1U850,觀音海岸,121.7703,24.3851
451,C1U830,烏石鼻,121.8317,24.4847
452,C0U780,五結,121.7902,24.6887
453,C0V500,旗津,120.2779,22.5904
454,C0V490,新興,120.2906,22.6291
455,C0AD50,鶯歌,121.3373,24.953
456,C0AD40,土城,121.4369,24.9749
457,C0AD30,蘆洲,121.4641,25.0885
458,C0AD20,深坑,121.6095,25.0031
459,C0AD10,八里,121.3953,25.1523
460,C0AD00,三芝,121.4934,25.2596
461,88D610,下田埔,121.2649,24.6379
462,88C690,蘇樂,121.3486,24.7024
463,C0R430,東港,120.4333,22.4667
464,C0E730,頭份,120.9042,24.69
465,C0D580,寶山,121.0168,24.7367
466,C0C680,龜山,121.3783,25.0302
467,C0C630,大溪,121.2569,24.8847
468,C0C650,平鎮,121.2064,24.8994
469,C0D570,香山,120.8973,24.7487
470,A1AD60,貓空,121.5871,24.9707
471,A1AC40,指南,121.5721,24.9833
472,A1AC70,挹翠,121.5662,25.0189
473,A1AD40,油坑,121.5406,25.1821
474,A1AD20,竹湖,121.5201,25.1701
475,A1AD50,劍南,121.5431,25.0917
476,A1AD80,貴子,121.4816,25.1577
477,A1AD10,擎天,121.5598,25.1651
478,A1AD00,菁山,121.5578,25.1458
479,A1AC80,明德,121.5575,25.1155
480,A1AC90,溪山,121.5807,25.1387
481,A1AD30,安泰,121.6049,25.0894
482,A1AC60,九如,121.6034,25.0343
483,A1AD70,茶場,121.6551,25.0302
484,A1AC50,舊莊,121.6165,25.0358
485,C0C520,中壢,121.1771,24.9695
486,C0C620,蘆竹,121.2575,25.0861
487,C0D560,竹東,121.0499,24.7693
488,C0D550,雪霸,121.1079,24.5287
489,C0C670,龍潭,121.2132,24.8718
490,C0D540,橫山,121.1087,24.7129
491,C0C460,復興,121.3441,24.822
492,C0C590,觀音,121.1451,25.0289
493,C0D590,新豐,120.969,24.8724
494,C0A560,福山,121.4946,24.7783
495,C0R370,佳樂水,120.8367,21.9942
496,C0S760,紅石,121.12,23.0714
497,C1U501,牛鬥,121.5653,24.6394
498,L1A790,翡翠,121.5719,24.9089
499,L1A820,十三股,121.6414,24.9458
500,L1A810,九芎根,121.6417,24.9042
501,L1A830,坪林,121.7056,24.9386
502,L1A800,碧湖,121.7375,24.8944
503,L1A840,太平,121.82,24.9736
504,21D350,西丘斯山,121.35,24.5833
505,21D170,鎮西堡,121.3,24.5667
506,21C090,嘎拉賀,121.4,24.6333
507,21U110,池端,121.4667,24.6333
508,21C070,巴陵,121.3833,24.6833
509,21D150,玉峰,121.3,24.6667
510,21C080,高義,121.35,24.7167
511,21C140,霞雲,121.35,24.8
512,01A350,富貴角,121.5364,25.29
513,01AF90,三貂嶺,121.8206,25.0592
514,01AG00,社后橋,121.6336,25.063
515,01AG10,熊空山,121.4517,24.8753
516,01A200,火燒寮,121.7414,24.9828
517,01A380,瑞芳,121.7956,25.1128
518,01A220,三峽,121.3478,24.9403
519,01A130,石碇,121.6494,24.9936
520,01A190,碧湖,121.7372,24.8928
521,01A420,竹子湖,121.5336,25.1639
522,01B030,五堵,121.6867,25.0808
523,01A410,中正橋,121.5097,25.0214
524,01A170,坪林,121.707,24.937
525,01A440,大桶山,121.5664,24.87
526,01A430,福山,121.4817,24.7789
527,01A210,大豹,121.4164,24.8861
528,01C400,石門後池,121.2361,24.8192
529,A1AB80,雙溪,121.5612,25.1154
530,A1AB70,奇岩,121.4949,25.1257
531,A1AB60,福德,121.5207,25.1012
532,A1AB50,建國,121.5207,25.074
533,A1AB40,玉成,121.5743,25.054
534,A1AB30,中洲,121.4665,25.1071
535,A1AB20,雙園,121.4821,25.0321
536,A1AB10,埤腹,121.5371,24.9882
537,A1AB00,北政國中,121.5693,24.9862
538,A1AA90,博嘉國小,121.5671,25.004
539,A1AA80,市政中心,121.5482,25.0407
540,A1AA70,舊莊國小,121.6112,25.0418
541,A1AA60,留公國中,121.5774,25.039
542,A1AA50,東湖國小,121.6068,25.071
543,A1AA40,碧湖國小,121.5835,25.0865
544,A1AA30,至善國中,121.5474,25.1051
545,A1AA20,平等國小,121.5682,25.131
546,A1AA10,格致國中,121.5374,25.1332
547,A1AA00,三興國小,121.5499,25.031
548,A1A9Z0,中正國中,121.5137,25.0335
549,A1A9Y0,民生國中,121.5585,25.0615
550,A1A9X0,太平國小,121.5035,25.0635
551,A1A9W0,陽明高中,121.5085,25.0943
552,A1A9V0,北投國小,121.4907,25.1357
553,A1A9U0,桃源國中,121.4687,25.1362
554,A1A9T0,大屯國小,121.4957,25.1568
555,A1A9S0,湖田國小,121.5307,25.1704
556,C0F9I0,神岡,120.6503,24.2742
557,C0AC40,大屯山,121.5142,25.1773
558,C0U770,南澳,121.802,24.4512
559,C0U760,東澳,121.8249,24.5237
560,C0T9D0,和中,121.7333,24.2681
561,C0T9C0,富世,121.6219,24.1497
562,C0T9F0,水璉,121.5342,23.7989
563,C0T9I0,豐濱,121.5062,23.5859
564,C0T9H0,加路蘭山,121.5189,23.6842
565,C0T9E0,大坑,121.5738,23.8824
566,C0T9G0,鳳林山,121.412,23.7371
567,C1S820,金峰,120.9252,22.5928
568,C0S840,南田,120.8819,22.2919
569,C1S800,華源,121.0156,22.6597
570,C0U750,龜山島,121.9449,24.8434
571,C1M620,瑞里,120.667,23.5469
572,C1M610,石磐龍,120.655,23.4981
573,C1M600,頭凍,120.5953,23.4081
574,C1I340,新興橋,120.8597,23.5658
575,C1I330,楓樹林,121.0681,23.9886
576,C1I320,奧萬大,121.1704,23.9547
577,C1I310,西巒,120.8756,23.7564
578,C1I290,豐丘,120.8789,23.67
579,C1I280,埔中,120.6347,23.8225
580,C1I260,北坑,120.9989,23.9264
581,C1I250,鯉潭,120.9831,23.9639
582,C1I240,外大坪,120.9097,23.9606
583,C1I220,樟湖,120.8392,23.9069
584,C1I211,蘆竹湳,120.8039,23.9358
585,C1I201,中心崙,120.7042,23.7303
586,C1F9H1,烏石坑,120.9375,24.2808
587,C1F9G1,慶福山,120.8397,24.1828
588,C1E721,泰安,120.9594,24.4906
589,C1E711,馬拉邦山,120.8933,24.3692
590,C1E701,八卦,120.9194,24.4936
591,C1E681,南勢山,120.9156,24.4236
592,C1F9F1,伯公龍,120.8411,24.2742
593,C1F9E1,龍安,120.8239,24.1619
594,C1F9D1,白毛台,120.8789,24.16
595,C1F9C1,白冷,120.9217,24.1844
596,C1F9B1,桐林,120.7272,24.0681
597,C1F9J1,清水林,120.8122,24.0733
598,C0F9A0,中竹林,120.7433,24.1056
599,C1E670,南礦,120.9947,24.5403
600,C0T9B0,水源,121.5292,23.9936
601,C0T9A0,月眉山,121.5317,23.8117
602,C0T790,大禹嶺,121.3078,24.1879
603,C1A9N0,四十份,121.585,24.9358
604,C0AC60,三峽,121.3615,24.9408
605,C0AH00,汐止,121.6506,25.0687
606,C0A550,泰平,121.8153,24.9731
607,C0A540,四堵,121.7375,24.8944
608,C0A530,坪林,121.7015,24.94
609,C1R290,石門山,120.7417,22.1167
610,C0R420,牡丹池山,120.8325,22.1696
611,C0A9I1,三重,121.4813,25.0585
612,C0AC70,信義,121.5564,25.0396
613,C0A9G0,南港,121.5947,25.0575
614,C0A9F0,內湖,121.5672,25.0812
615,C0A9E0,士林,121.4948,25.092
616,C0A9C0,天母,121.5289,25.1193
617,C0A9B0,石牌,121.5059,25.1176
618,C0A9A0,大直,121.5347,25.0797
619,C0A980,社子,121.4614,25.1114
620,C0R400,楓港,120.6847,22.1917
621,C0R380,枋寮,120.5816,22.3712
622,C0R360,墾丁,120.7942,21.9478
623,C0R270,琉球嶼,120.3542,22.334
624,C0R350,貓鼻頭,120.7278,21.9236
625,C1R330,枋山,120.6531,22.2486
626,C1R320,車城,120.7081,22.0758
627,C1S880,壽卡,120.8509,22.2406
628,C1R300,旭海,120.8796,22.1964
629,C0R280,檳榔,120.8288,22.0779
630,C1R250,力里,120.6212,22.4298
631,C0Z070,舞鶴,121.3658,23.4697
632,C0S770,大溪山,120.9353,22.48
633,C0Z061,玉里,121.3316,23.3233
634,C0Z050,佳心,121.205,23.3469
635,C0S750,向陽,120.9781,23.25
636,C0S740,池上,121.2017,23.1214
637,C0S730,綠島,121.4673,22.669
638,C0T9M0,靜浦,121.4867,23.4569
639,C0S710,鹿野,121.1149,22.9195
640,C0S700,知本,120.9976,22.6867
641,C0S690,太麻里,120.9773,22.6108
642,C1S670,摩天,121.0192,23.2011
643,C1Z040,立山,121.3192,23.445
